matrix.ncol...1..nrow...0.,dura_clus$cluster,pace_clus$cluster,sect_clus$cluster,loud_clus$cluster,pitches_clus$cluster,timbre_clus$cluster
TRABPAU128F429C1BD,2,2,3,2,3,3
TRABPGO128F931B50C,2,2,3,3,1,3
TRABPHE128F42A1E65,1,2,2,3,1,2
TRABPJW128F147295E,1,3,2,3,2,3
TRABPUI12903CF22CE,2,3,1,1,1,2
TRABQZK128F92F54F4,2,3,1,2,2,1
TRABRMJ128E0780E42,1,3,1,3,3,2
TRABRMZ128F4261DED,1,3,3,3,1,3
TRABRRN12903CF084B,1,3,2,3,2,3
TRABSAR128F42324A8,1,3,1,3,3,2
TRABSEN128F424AA36,1,3,1,3,3,2
TRABTXS128F92E2FDC,3,2,1,2,2,1
TRABUDK128F14943F3,1,3,1,2,1,3
TRABUIN128F93022FF,1,2,2,2,3,1
TRABUUH128F4241346,2,2,1,2,1,2
TRABUVN128F930633C,1,2,2,2,1,1
TRABUZC128E078603F,1,3,1,2,3,3
TRABVWG128F9359323,1,2,1,3,1,2
TRABWPT128F42B06CC,2,2,1,3,2,3
TRABXLH128F935F8E7,2,2,1,3,1,3
TRABXPR128F92F27FE,1,2,1,3,1,2
TRABXVE128F4284AFC,2,3,1,3,2,2
TRABYAR128F931B1A4,1,2,2,2,2,3
TRABYEY128F933773A,3,3,1,2,3,3
TRABYOS12903CC4A81,1,3,1,2,2,1
TRABYVN128F429E5CF,1,3,1,3,3,3
TRABZCL128E0789AED,1,2,2,2,2,3
TRABZRZ128F42628AD,1,3,2,2,2,3
TRACASH128F931C969,1,3,1,3,3,2
TRACBLO128E0784286,1,3,1,3,3,2
TRACBRM128F425C2C3,2,2,1,3,3,2
TRACBWP128C7196948,1,2,1,3,1,3
TRACBWQ128F92F2B91,2,3,3,3,2,3
TRACBWX128F92FD725,1,3,1,2,3,1
TRACCEJ128F93257ED,1,2,2,3,2,1
TRACCJA128F149A144,2,2,1,3,2,1
TRACCSW128F148C7C3,1,2,1,3,1,3
TRACCVZ128F4291A8A,1,3,1,3,3,2
TRACDCZ128F4285AE0,2,2,1,3,2,3
TRACFAP128E07862C1,1,2,2,3,3,3
TRACFOJ128F4253EFA,1,3,2,3,2,3
TRACFOV128F9340D81,1,2,1,3,3,2
TRACFWQ12903CF8148,1,3,2,2,1,3
TRACFXL128F930B28B,1,3,2,3,2,3
TRACFZI128E0795424,2,2,3,3,1,2
TRACHFO12903CB3009,2,2,1,3,1,3
TRACHHH128E0788A35,2,3,3,3,3,1
TRACHKX128F934B07A,1,2,3,2,1,1
TRACICJ128F14ADFB8,2,2,1,3,2,2
TRACISV12903D13877,2,3,1,3,3,3
TRACJPW128F932CA4C,1,2,2,1,2,2
TRACJWY12903CB7DBF,2,2,1,1,2,3
TRACKAP128F425B741,3,3,1,2,2,1
TRACKVZ128F4285793,1,3,1,3,2,3
TRACKWV128F934B6B0,1,2,1,1,3,2
TRACLHC128F9343C39,1,2,1,3,1,3
TRACLRS12903CE9386,2,2,1,3,2,3
TRACLRV128EF33FAB8,2,2,1,3,3,2
TRACMCG128F92CE225,1,2,2,3,3,2
TRACMHD128F931FB14,1,3,2,1,3,2
TRACMMG128F146D705,2,2,1,1,3,2
TRACMXG12903CA2541,1,2,2,2,1,1
TRACNXS128F93395BA,1,3,1,1,3,2
TRACNXU12903C9CDFF,1,2,1,3,2,2
TRACOHQ128F424C5EF,1,3,1,1,3,2
TRACOSS12903CE4724,1,2,1,3,1,3
TRACOTY128F930BCFA,2,3,1,2,1,1
TRACOUL128F425BDE0,1,3,2,1,3,2
TRACPIC128E0792500,2,3,3,3,1,2
TRACRON12903CB59E6,1,2,2,2,2,2
TRACRTS128F9300F7E,2,2,3,1,3,2
TRACRVJ128F14661D6,2,2,1,1,1,2
TRACSBL128F42480E8,1,2,1,3,3,3
TRACSIE128F427F98E,1,2,1,3,2,3
TRACSTF128F4238A87,2,2,1,2,2,3
TRACTHF128F4295A22,1,3,1,3,2,3
TRACTLX128F42A51F6,3,3,2,1,1,3
TRACTUH128F92C93A3,2,2,1,3,1,2
TRACTWW12903CB7550,1,3,1,3,2,2
TRACUCQ128F92FFBF7,1,2,2,3,2,3
TRACUCT128F422BC2F,2,3,3,1,1,3
TRACVBQ128E07855EE,2,2,1,1,3,3
TRACVFF12903CF055A,2,3,3,2,3,2
TRACVSS128E07846A7,2,3,3,3,3,2
TRACWBO128F92F322F,2,3,3,3,1,2
TRACWFA128F4265BDF,2,2,3,3,1,2
TRACWYD128F1465B4A,3,1,3,2,1,3
TRACXGH128F931686C,1,3,1,3,2,3
TRACXYU128F425EEE8,1,2,3,3,2,3
TRACYCJ128F9309246,1,2,1,2,1,1
TRACYDP128F932BC8E,2,3,3,1,3,2
TRACYMH12903CA01DF,1,3,1,3,1,2
TRACYOV128F92CB613,2,3,3,3,2,3
TRACZJA128F429E665,1,3,1,3,2,3
TRADABC128F4274FCC,2,3,1,3,1,2
TRADAFY128F145B77B,2,1,3,3,2,3
TRADAYS12903CDBE0F,1,3,2,3,2,2
TRADAZP12903D0A480,2,2,3,2,3,3
TRADBXG12903CBDEC5,1,3,1,2,1,3
TRADCHC128F42134B5,1,2,2,3,1,3
TRADCIM128F427A3A1,1,3,2,3,3,3
TRADCUZ128F92E6775,1,3,1,2,2,1
TRADDBK128F1483FF8,2,3,1,3,2,2
TRADDCV128F423BAB0,1,3,2,1,3,2
TRADDRF128F145869F,1,3,1,2,3,2
TRADDYJ128F4275431,1,3,3,2,2,2
TRADESF128F4214D8E,1,3,1,3,3,2
TRADFAQ128F428AC13,2,3,3,3,2,2
TRADFID128F4267231,1,2,1,2,2,3
TRADFII128F931FC9F,3,2,2,3,3,2
TRADFJJ128F934857E,2,3,3,1,3,2
TRADFOJ128F425107D,1,3,1,3,3,3
TRADFOQ128F9335409,2,2,1,1,2,3
TRADFQK128F422B492,2,3,3,3,2,2
TRADFXD128F424694C,2,3,3,3,1,2
TRADGLP128F427A172,2,2,3,3,1,2
TRADGWP128F42618E4,3,2,2,3,1,3
TRADGXI128F92EF28F,2,3,3,3,3,2
TRADHGK128F428A000,1,3,1,3,3,2
TRADHLD128F4241363,1,3,1,3,3,2
TRADHLI128F428FEFD,2,3,3,2,3,2
TRADHUZ128F148885D,1,2,3,1,1,3
TRADHXU12903CB4400,2,3,1,3,1,3
TRADJAO128F146D76E,1,2,2,1,3,2
TRADJGI128F148B0F6,2,3,3,3,1,2
TRADJHU128F425459F,1,3,1,2,1,2
TRADJKG12903CE049F,1,2,1,1,3,2
TRADJSM128F14894AA,1,2,2,2,1,2
TRADKAX128E0786B92,2,3,1,1,3,2
TRADKDX128F9320676,1,3,1,2,2,1
TRADKLT128F9304E1D,1,2,1,2,1,2
TRADLBJ128F423A031,1,3,1,2,2,3
TRADLYD128F92FEBFF,1,3,1,3,1,2
TRADMAJ128F92F566E,1,2,1,3,1,3
TRADMFK12903CC2478,2,3,3,1,1,2
TRADNRG128F4295A0E,1,2,1,3,2,1
TRADNRU128F428AC6D,2,2,3,3,1,2
TRADOAJ128F428DA46,1,3,2,3,3,2
TRADODV128F4283EB6,1,2,1,2,3,3
TRADOSF128F9338ADB,2,2,1,2,1,2
TRADOWO12903CD9BA2,2,2,3,3,2,1
TRADOZB128F42312BB,2,2,3,3,1,2
TRADPDI128F92EBD32,2,3,3,2,1,2
TRADPPX128E078B0BC,2,2,1,3,2,3
TRADQBK128F92E8B5F,2,3,1,3,2,2
TRADQJL128F92D9957,3,2,1,2,1,3
TRADRED12903CA4B7C,1,2,3,3,1,2
TRADRHX12903CCD1DF,2,2,3,3,1,3
TRADRJK128E078F041,1,3,2,3,2,1
TRADRNN128F92F7172,1,2,1,2,1,3
TRADROR128F42936A4,3,3,2,3,1,3
TRADSQZ128F42707D7,2,2,3,3,2,3
TRADSVJ12903C9CDFA,1,3,1,3,1,2
TRADTID128F9305BC4,2,3,1,1,3,3
TRADUKH128F4256D1B,1,3,1,3,3,2
TRADUOU12903CF4323,3,1,2,2,1,1
TRADVSU128E0786371,1,2,1,3,2,2
TRADWAU128F145622F,2,2,3,3,2,2
TRADWOB12903C9D1EB,1,2,1,3,1,1
TRADXCF128EF357134,2,2,3,3,1,3
TRADXCO128F426B26D,1,2,1,3,3,3
TRADXMA128F4276D94,2,2,3,2,1,1
TRADXNV128F42B4DFE,1,2,1,3,1,3
TRADYJM128F427E05B,3,2,2,3,3,2
TRADYQK128F42A762A,1,3,2,1,3,2
TRADZQV128F14A5760,2,3,1,2,3,2
TRADZXK128F429DB92,2,2,3,2,1,3
TRADZZP128F428BCE6,2,3,1,3,3,2
TRAEADK128F4270AA6,3,3,2,1,2,1
TRAEARU128E0781A02,1,3,1,2,2,3
TRAEASY128F148247C,2,3,1,1,2,3
TRAEAZV12903D0CBA6,3,2,2,3,2,3
TRAEBXS128F429933A,1,2,1,3,3,1
TRAECBR128F429F8C0,2,2,3,3,1,2
TRAECSU128F426A84A,1,3,2,3,3,2
TRAECWI128F4226133,2,3,2,3,3,2
TRAEDXO128F421B908,3,3,1,1,1,2
TRAEDYD128F425A868,2,2,3,1,1,1
TRAEFDK128F1473B92,2,3,3,3,1,2
TRAEFON128E078C6F8,1,2,2,3,2,2
TRAEFUS12903CC2779,2,3,3,1,1,2
TRAEGAZ128F426240C,2,1,3,3,2,3
TRAEGGV128F92F29B2,2,3,1,3,3,2
TRAEGUL128E078B0C1,2,2,2,3,2,2
TRAEHNA128F423786C,1,3,2,3,1,3
TRAEHOI12903CD02C8,1,2,1,3,2,1
TRAEHTU128F93353E5,2,3,1,3,1,2
TRAEHXW128F146F3C5,2,3,1,2,2,3
TRAEHYF128F148AE0C,2,3,1,2,1,1
TRAEIIO128F92E08FD,2,2,1,3,3,2
TRAEJPC12903CD420E,1,2,1,3,2,3
TRAELHH128F92CF21E,2,2,1,3,1,2
TRAEMDH128F146B548,2,3,3,1,1,2
TRAEMGL128F4266177,1,2,2,3,2,1
TRAEMNZ128F9334662,1,3,1,1,2,2
TRAEMTU128EF363016,1,2,1,3,3,3
TRAEMXB128F429FA26,2,3,3,3,2,3
TRAEMZO12903CC525F,1,2,2,3,1,2
TRAENGX12903CBDFF6,3,3,2,3,2,2
TRAENOH128F933978A,1,3,1,3,1,2
TRAENVO128E0781A16,2,2,1,2,3,3
TRAENYD128F424AA32,1,2,3,3,3,2
TRAEOBA12903CAFAB0,2,3,3,1,1,3
TRAEOGO128F93302B9,1,3,2,2,2,2
TRAEOMS128F4262357,2,3,3,3,2,3
TRAEOOH128F934ACD4,2,3,3,3,3,2
TRAEOUE128F93187B9,1,3,1,3,3,2
TRAEPAC12903CE5DC8,2,2,3,3,3,3
TRAEPAW128F4285BAB,2,3,1,2,2,1
TRAEPGH128F9343CD8,2,2,1,1,3,3
TRAEPGQ128F932AE6D,2,3,1,3,2,2
TRAEPPP128F92F11E8,1,2,3,3,1,3
TRAEPZJ12903CB00C4,1,3,2,1,3,2
TRAEQQE128F42920E3,2,2,1,3,2,3
TRAEQWJ12903CF5475,1,2,2,3,2,2
TRAEQZR128F92E9D73,2,3,1,3,2,3
TRAEROB12903CE3E7D,2,3,3,1,1,3
TRAERPT128F931103E,2,3,1,3,3,2
TRAESDC12903CCEA5E,1,3,1,3,1,2
TRAESJK128E0792227,2,2,3,3,1,1
TRAESQE128F92D0349,1,2,3,2,3,3
TRAESRT12903CC70CE,2,2,1,1,1,2
TRAETAG128F93385AE,3,3,2,2,2,1
TRAETPQ128F92E562A,2,3,1,3,2,3
TRAETTV12903CBBD09,3,3,2,2,1,3
TRAETYC128F933BBF4,1,3,2,3,2,3
TRAEUHN128F92E2C7F,1,2,2,1,2,2
TRAEUIW12903D018F0,2,2,3,3,2,2
TRAEUVH128F422559A,1,2,1,3,2,3
TRAEVHU128F92D9EA0,1,2,2,2,2,3
TRAEVIA12903CC3C37,2,2,3,3,3,2
TRAEVLO128F933DE9E,1,1,3,3,1,1
TRAEVRI128F93608F3,1,2,1,3,2,3
TRAEVRU128F4263351,2,3,3,2,2,1
TRAEVTK128F9337030,1,3,2,2,3,3
TRAEWHH128F428F3AB,1,3,1,3,1,2
TRAEWLF128F42B1F89,1,3,1,3,1,3
TRAEXEA128F933C67D,2,2,1,3,2,2
TRAEXHW128F92E2602,1,2,1,2,3,2
TRAEXTM128E07811E1,2,2,3,3,1,1
TRAEZFJ128F422A5C0,1,2,1,3,3,2
TRAFAAS12903CF0BE2,1,2,2,2,1,1
TRAFABO128F933DE53,1,3,2,1,1,2
TRAFAID128F4243DAF,1,3,1,2,1,1
TRAFAJC128E078888B,2,3,3,3,2,3
TRAFAQY12903CA70F7,2,3,3,1,3,2
TRAFBML128F93163FB,2,3,3,3,3,2
TRAFBVU128F426B3F6,1,2,2,1,3,2
TRAFCVI128C7196BE6,1,3,1,2,2,3
TRAFCWJ128F42515AE,1,3,2,3,2,3
TRAFDFD128F14B07AB,2,2,3,3,3,2
TRAFEEO12903CFEC87,3,2,2,3,3,2
TRAFEPC128F4237505,1,2,1,2,1,3
TRAFGKU128F42889EF,1,2,1,3,2,2
TRAFGMJ128F930F532,1,3,2,3,3,2
TRAFGYR128F930F410,1,2,2,1,1,3
TRAFHJI128F9302CFF,2,2,1,1,1,3
TRAFHKA128F429F7C0,2,3,1,3,2,3
TRAFHWP128F9333343,1,3,2,2,2,3
TRAFIGU12903CC70C2,1,2,3,1,1,2
TRAFIHK12903CBDFF1,1,3,1,1,2,2
TRAFIQB128F423DCBA,1,3,1,3,1,2
TRAFISG128F4263F8A,2,3,3,3,1,3
TRAFJIW128E078E1DE,1,2,1,2,1,1
TRAFJVH128F42BC25E,1,2,1,3,1,1
TRAFKDG12903CAB85C,1,2,1,3,2,2
TRAFKRE128F932002B,1,2,1,1,1,2
TRAFLMU128F4274A4D,1,2,2,3,1,1
TRAFLZY128F148959F,2,2,1,3,3,2
TRAFMHB12903CF4F12,2,2,1,3,2,1
TRAFMIA128F92E2B2B,2,3,1,2,2,1
TRAFMME128F932B4D5,2,3,3,1,3,2
TRAFMPX128F4246C49,1,2,1,3,3,2
TRAFNNT128F92E4E81,1,2,2,3,2,3
TRAFOKY128F4276D91,2,3,3,3,1,1
TRAFOKY128F92ED751,1,2,1,3,2,2
TRAFQFD128F9343706,2,3,1,1,3,2
TRAFQFM128E078EC97,1,3,2,3,1,3
TRAFQVV128F4260033,1,2,1,1,3,2
TRAFRCH12903CEA22D,2,3,3,3,1,3
TRAFRKU128F933CE16,3,2,1,1,2,3
TRAFRVU128F42649A6,1,3,1,3,2,2
TRAFRYJ128F92E638B,3,3,2,3,3,3
TRAFSLJ128F14913B0,2,3,1,3,2,1
TRAFTCT128F425A900,2,2,3,3,1,3
TRAFTFF128F930F77C,1,2,1,2,1,3
TRAFTMA128F933A3D7,1,3,1,3,3,2
TRAFTOE12903CF3F5E,2,1,3,3,2,3
TRAFUWI128F934C730,1,3,2,3,3,2
TRAFVDV128F42936BA,1,3,2,3,2,2
TRAFWEV128F428D391,2,3,2,3,1,3
TRAFWRG128F4295089,2,3,1,3,1,2
TRAFXCP128F93182DD,2,2,3,1,1,3
TRAFXEY128F148AECD,1,2,3,3,1,3
TRAFXZW128F14B0914,1,3,1,2,3,2
TRAFYAV128F42ACA8C,2,3,3,3,1,3
TRAFYGA128F425A92C,1,2,2,2,1,2
TRAFYGO128F42727E7,1,3,2,2,2,1
TRAFYYU128F4229376,2,2,3,3,3,2
TRAFZHK128F145E86B,1,2,3,3,3,2
TRAFZIM128F427D344,2,3,3,3,3,2
TRAFZRL128F428E465,1,3,1,3,1,3
TRAGAAF128F9338911,1,2,2,3,1,3
TRAGAGQ128E0781352,1,3,1,3,3,2
TRAGALM128F4236C86,2,2,3,3,1,1
TRAGANK128F428A5CD,2,3,3,3,3,2
TRAGAVF128F424829B,2,2,1,1,2,2
TRAGBHV128F4295074,2,3,3,3,1,2
TRAGBND128F92FC400,1,2,1,3,1,3
TRAGBOR128F92E1064,3,3,2,1,3,2
TRAGBPI128E0792998,3,2,2,3,3,2
TRAGCSY128F14546B1,2,2,3,3,2,2
TRAGCTZ128F4290974,2,2,1,2,2,2
TRAGDCN128F92F9050,1,3,2,3,1,2
TRAGDEA128F4279040,1,2,2,3,2,2
TRAGDFG128F42934A0,1,3,3,3,1,2
TRAGDLM128F4233397,3,2,2,2,2,1
TRAGDPH128F9344020,2,3,3,3,3,2
TRAGDPS128F145F8EE,1,3,1,2,2,3
TRAGDRH128F93182E1,2,1,3,1,3,3
TRAGDVU12903CDCD8B,1,2,1,2,2,3
TRAGEAS128F4258B9E,2,2,1,2,2,3
TRAGEQI128F429154D,3,2,2,3,1,2
TRAGETA128F4272C38,2,3,3,3,3,2
TRAGEXH12903CB4C10,2,2,3,3,2,3
TRAGFOI128F428E060,1,2,2,2,1,2
TRAGFQG128F42418D5,2,2,3,3,3,3
TRAGFVT128F92ECB5D,1,3,2,2,1,2
TRAGGKN12903CCA8EE,1,3,2,2,3,3
TRAGGMY12903CD9533,1,3,3,3,1,2
TRAGGVS128F4250CE8,3,3,2,3,3,2
TRAGHBP128E0793AF7,1,2,2,2,2,3
TRAGHJX128F426F76F,1,2,2,3,2,3
TRAGIKK128F42424EF,1,3,1,2,3,3
TRAGJPA128F92F9665,1,3,2,2,1,2
TRAGJQL128E078E840,1,2,1,3,2,3
TRAGJYM128F934B753,2,3,3,1,3,2
TRAGKMU128F429757E,2,3,1,3,3,2
TRAGKMU128F9305831,2,2,1,2,2,1
TRAGKTN128F933C68B,2,3,1,3,2,2
TRAGKUI128F92F4698,3,2,2,3,3,2
TRAGKXH128F933D9BB,1,2,1,3,1,3
TRAGLAE12903CFFEED,3,2,2,3,3,2
TRAGLFE128F428566B,1,2,2,2,1,3
TRAGLHT12903CCDB86,1,1,1,3,2,2
TRAGLKL12903CEDE95,2,3,1,3,1,3
TRAGLMS128F425FE0A,2,2,1,3,1,3
TRAGLSU128F145FFB2,1,2,2,3,2,3
TRAGLZM128F931C995,1,3,2,3,1,2
TRAGMXK128F9305A50,2,3,1,3,1,3
TRAGNAX128F9313AE8,1,3,2,3,2,2
TRAGNBQ128F149CB93,2,3,1,1,1,2
TRAGNFZ12903CD04C2,2,2,3,1,3,2
TRAGNGY12903C9CD76,2,3,1,3,1,3
TRAGNUI128F1471068,2,3,2,3,1,2
TRAGOVG128F42A963D,1,2,1,3,1,2
TRAGPAF128EF34542A,2,2,3,3,1,2
TRAGPEA128F422B47E,2,3,3,3,2,3
TRAGPMR128F930C0D8,3,3,2,3,1,2
TRAGPZS128F9332248,2,3,3,2,2,1
TRAGQBY128F42635B7,1,2,1,2,2,3
TRAGQQK128F42561AB,1,3,2,3,2,1
TRAGQVO128F145C0AF,2,3,3,2,1,1
TRAGROY128F92D2C53,1,3,1,3,2,3
TRAGSGF128E0780CA7,1,3,2,3,2,2
TRAGSIX128F92E0933,1,3,3,3,1,2
TRAGSJK128F1491F0A,1,2,1,2,3,1
TRAGSJQ128F149EF8D,2,3,3,1,3,2
TRAGSZA128F146A11A,1,2,1,2,1,2
TRAGTNK128F14732E1,1,3,1,3,2,3
TRAGTUF128F42297F1,2,2,1,2,1,1
TRAGVAO128F4289B5D,1,2,2,3,1,1
TRAGVGB128F423098D,1,2,1,3,3,3
TRAGVRL128F4264526,1,2,2,2,2,3
TRAGWDA128F1473193,2,2,1,3,2,3
TRAGWJK12903CE640F,1,2,2,3,3,3
TRAGWMO12903CFD994,2,3,3,2,3,2
TRAGWTT128F148CF2C,1,2,1,1,2,2
TRAGXNU128F932C7D8,2,3,3,1,1,1
TRAGXUZ128F9311745,2,3,3,3,1,2
TRAGYDZ12903D0957F,1,3,1,3,2,3
TRAGYJM128EF3466D2,1,3,2,3,3,2
TRAGYKT128F92F5D8A,2,2,1,3,2,1
TRAGYXL128F92F9FCB,1,2,2,3,3,3
TRAGZCW128EF34B85B,1,3,1,2,1,3
TRAGZHM12903CAEF3A,1,2,1,1,1,2
TRAGZOK128F14ADF45,1,2,2,3,1,3
TRAHBOC128F9322A62,1,3,1,3,1,2
TRAHBOV128F92EF77A,2,2,1,1,1,2
TRAHBQT128F4213403,2,3,3,3,1,3
TRAHCBD128F9336A3E,2,2,1,3,1,3
TRAHCHN128F4276D58,1,2,3,3,1,2
TRAHCRI128F4255C6E,1,3,1,3,1,3
TRAHCVT128F4282806,3,3,2,1,3,2
TRAHEQC128F42153D6,1,2,1,2,2,3
TRAHFAH12903CA7F20,1,2,2,3,1,3
TRAHFCR128F422A375,1,3,1,3,1,1
TRAHFHR12903CCCAF8,2,3,3,1,1,2
TRAHFOU128F42B3F2A,2,1,3,2,1,1
TRAHFYH128F92CE223,3,3,2,3,1,2
TRAHHMV12903CD0B0D,1,2,1,1,1,3
TRAHHSV128F42374E3,1,3,2,3,2,1
TRAHIJE128F4243356,2,3,1,3,3,2
TRAHIPA128F4279744,2,3,1,1,2,2
TRAHIXN128F147F25D,2,2,3,2,2,3
TRAHJCI128F92FFB38,1,2,1,3,3,3
TRAHJPC128F4268DC7,1,2,1,3,2,2
TRAHKMS128F934B09E,1,2,1,3,3,2
TRAHKRO128F9320EA7,1,3,2,1,3,2
TRAHKUS128F425ABD8,1,3,1,2,2,1
TRAHLDM128F933A3B1,1,2,2,2,2,1
TRAHLIF128F92E9CCF,1,3,1,3,2,2
TRAHLNJ128F4214527,1,3,2,3,2,3
TRAHLVW128F426684F,1,3,2,3,1,3
TRAHMIV128F14693DC,1,2,2,3,1,2
