"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"X52","accept","6.20424370269264e-05","0","0","6.44184623313041e-05","4.03047035589053e-05","0","0","0","0.000106038916282276","0","0.000156899662665725","7.5723156141148e-05","0","0.000124038700074423","3.04636568573692e-05","6.01950319033669e-05","6.77479235261439e-05","0.000269505457485514","0","2.19843032075098e-05"
"X53","accid","0","0","0","0","4.03047035589053e-05","0","0","0","0","0","0","0","0","4.13462333581411e-05","0","0","0","0","0","0"
"X54","accus","0","0","0","0","0","0","0","0","0","0","0","0","0","4.13462333581411e-05","0","0.000100325053172278","0","6.73763643713785e-05","0","0"
"X55","ace","0","0","0","0","0","0","0","0","5.30194581411378e-05","0","0","0","0","0","0","0","5.41983388209151e-05","0","0","0"
"X56","ach","0","0","0.000159540523292916","0","0","0","9.369875849145e-05","0","5.30194581411378e-05","0","7.84498313328626e-05","0","0.000243557893711335","4.13462333581411e-05","9.13909705721075e-05","2.00650106344556e-05","1.35495847052288e-05","0","0","2.19843032075098e-05"
"X57","achiev","0.000155106092567316","0","0","0.000128836924662608","4.03047035589053e-05","0","0","0","0","0","2.61499437776209e-05","0","9.74231574845341e-05","0","0","2.00650106344556e-05","1.35495847052288e-05","0","0","0"
"X58","acid","0","0","0","0","0","0","0","0","0","0","5.22998875552418e-05","0","4.8711578742267e-05","0","0","0","0","0","0","0"
"X59","across","9.30636555403896e-05","0.000221950948840306","0.000212720697723889","0.000128836924662608","0.000120914110676716","0","0.0001873975169829","0","0.000159058374423413","0","0.000261499437776209","0","0.000243557893711335","8.26924667162821e-05","9.13909705721075e-05","4.01300212689113e-05","0.000189694185873203","0.00047163455059965","0.000572446253657295","4.39686064150197e-05"
"X60","act","0","0","0.000372261221016805","9.66276934969562e-05","0.000443351739147959","0.000190114068441065","0.000234246896228625","0","5.30194581411378e-05","0","7.84498313328626e-05","0","0.000292269472453602","0.000165384933432564","3.04636568573692e-05","0.000260845138247923","0.000406487541156864","6.73763643713785e-05","6.36051392952551e-05","8.79372128300394e-05"
"X61","action","0","0","0","3.22092311656521e-05","0","0.000697084917617237","0","0","0.000318116748846827","0","0.000235349493998588","0","0","0","0.000304636568573692","0","4.06487541156864e-05","0.00141490365179895","6.36051392952551e-05","0"
"X62","actor","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.35495847052288e-05","0","0","0"
"X63","actual","0","0","5.31801744309721e-05","9.66276934969562e-05","0","0","0","0","0","0","5.22998875552418e-05","0","0","0","3.04636568573692e-05","2.00650106344556e-05","2.70991694104576e-05","0","0","0"
"X64","ad","0","0","5.31801744309721e-05","0","0","0","0","0","0","0","0","0","0","0","3.04636568573692e-05","2.00650106344556e-05","5.41983388209151e-05","0","0","0"
"X65","adam","3.10212185134632e-05","0","0","3.22092311656521e-05","0","0","0","0","0","0","0","0","0","4.13462333581411e-05","0","0","1.35495847052288e-05","0","0","0"
"X66","add","0","0","0","0","0","0.000126742712294043","0","0","0","0","0","0","0","8.26924667162821e-05","0","0","2.70991694104576e-05","0","0","0"
"X67","addict","0","0","5.31801744309721e-05","0.000225464618159565","4.03047035589053e-05","6.33713561470215e-05","0","0","0","0","5.22998875552418e-05","0","0.000146134736226801","0","0.000152318284286846","0","6.77479235261439e-05","0","0","2.19843032075098e-05"
"X68","adentro","0","0","0","0","0","0","0","7.34160487482564e-05","0","0","0","0","0","0","0","0","0","0","0","0"
"X69","adesso","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"X70","adio","0","0","0","0","0","0","0","0.000110124073122385","0","0","0","0","0","0","0","0","0","0","0","0"
"X71","adió","0","0","0","0","0","0","0","0.000513912341237795","0","0","0","0","0","0","0","0","0","0","0","0"
"X72","admir","3.10212185134632e-05","0","0.000106360348861944","0","8.06094071178107e-05","0","0","0","0","0","0","7.5723156141148e-05","0","0","0","4.01300212689113e-05","2.70991694104576e-05","6.73763643713785e-05","0","0.000109921516037549"
"X73","admit","6.20424370269264e-05","0","0","6.44184623313041e-05","0.000322437628471243","0.000126742712294043","0.0001873975169829","0","0","0","5.22998875552418e-05","0","4.8711578742267e-05","4.13462333581411e-05","3.04636568573692e-05","6.01950319033669e-05","2.70991694104576e-05","0.000134752728742757","6.36051392952551e-05","6.59529096225295e-05"
"X74","ador","0","0","0","3.22092311656521e-05","0.000120914110676716","6.33713561470215e-05","4.6849379245725e-05","0.000367080243741282","0","0","0.000104599775110484","0","0","8.26924667162821e-05","3.04636568573692e-05","4.01300212689113e-05","0","0","3.18025696476275e-05","0"
"X75","advanc","0","0","0","0","0","0","0","0","0.000106038916282276","0","0","0","4.8711578742267e-05","0","0","0","0.00010839667764183","0","0","0"
"X76","adventur","0.000341233403648095","0","0","0","0","0","0","0","0","0","2.61499437776209e-05","0","0","0","0","0","0","0","0","0"
"X77","advic","3.10212185134632e-05","0","5.31801744309721e-05","0","0","0","4.6849379245725e-05","0","5.30194581411378e-05","0","2.61499437776209e-05","0","4.8711578742267e-05","0","0","0","5.41983388209151e-05","0","0","2.19843032075098e-05"
"X78","afar","0","0","0.000159540523292916","0","0","0","0","0","0","0","2.61499437776209e-05","0","0","0","0","0","1.35495847052288e-05","0","3.18025696476275e-05","0"
"X79","affair","3.10212185134632e-05","0.000110975474420153","0","0.00016104615582826","0","0","4.6849379245725e-05","0","5.30194581411378e-05","0","5.22998875552418e-05","7.5723156141148e-05","0","0","0","0","0","0","0","0"
"X80","affect","9.30636555403896e-05","0","0","0","0","0","0","0","0.000265097290705689","0","0.000104599775110484","0","4.8711578742267e-05","4.13462333581411e-05","0.000213245598001584","0","4.06487541156864e-05","0","3.18025696476275e-05","6.59529096225295e-05"
"X81","afford","3.10212185134632e-05","0","0","3.22092311656521e-05","0","0","0","0","5.30194581411378e-05","0","0","0","0","0","0","4.01300212689113e-05","0","0.000202129093114136","0","2.19843032075098e-05"
"X82","afraid","0.000186127311080779","0","0.000159540523292916","0.00016104615582826","0.000241828221353432","0.000126742712294043","0","0","5.30194581411378e-05","0","0.000209199550220967","0","4.8711578742267e-05","0.000248077400148846","0.000121854627429477","0.000300975159516835","0.000135495847052288","0.000134752728742757","6.36051392952551e-05","0.00109921516037549"
"X83","africa","6.20424370269264e-05","0","0","0","0","0","0","0","5.30194581411378e-05","0","0","0","0","0","0","0","1.35495847052288e-05","0","0","0"
"X84","after","0.000899615336890433","0","0.000265900872154861","0.000322092311656521","0.000362742332030148","0.000126742712294043","0.000140548137737175","0","0.000318116748846827","0","0.000444549044219555","0","0.000243557893711335","0.000744232200446539","0.000121854627429477","0.000581885308399213","0.000365838787041177","0.000808516372456542","9.54077089428826e-05","8.79372128300394e-05"
"X85","afternoon","0.000434297059188485","0","0.000106360348861944","0","4.03047035589053e-05","0","0","0","0","0","2.61499437776209e-05","0","0","0","0","0","1.35495847052288e-05","0","0","0"
"X86","again","0.00120982752202507","0.000332926423260459","0.00148904488406722","0.00122395078429478","0.000483656442706864","0.000950570342205323","0.00178027641133755","0","0.00047717512327024","0","0.00120289741377056","0","0.000876808417360807","0.00297692880178616","0.000670200450862122","0.00144468076568081","0.000514884218798694","0.00168440910928446","0.00457957002925836","0.00197858728867589"
"X87","against","0.000248169748107706","0.00399511707912551","0.000159540523292916","0.000193255386993912","8.06094071178107e-05","0","0","0","0.000106038916282276","0.000122249388753056","0.000549148819330038","0","9.74231574845341e-05","0","6.09273137147383e-05","8.02600425378225e-05","6.77479235261439e-05","0.000134752728742757","0.000190815417885765","8.79372128300394e-05"
"X88","age","0","0","0.000425441395447777","9.66276934969562e-05","4.03047035589053e-05","0","0","0","0.000212077832564551","0","0.00028764938155383","0","0.000292269472453602","0","3.04636568573692e-05","4.01300212689113e-05","0.000121946262347059","0","0.000190815417885765","0"
"X89","ago","0.000186127311080779","0","0.000265900872154861","0.000193255386993912","0","0","9.369875849145e-05","7.34160487482564e-05","0.000159058374423413","0","7.84498313328626e-05","0","9.74231574845341e-05","8.26924667162821e-05","6.09273137147383e-05","0.000140455074441189","1.35495847052288e-05","0","0.000190815417885765","0.000131905819245059"
"X90","agoni","0","0","0","0","0","0","0","0","0","0","2.61499437776209e-05","0","0","0","0","0","0","0","0","2.19843032075098e-05"
"X91","agora","0","0","0","0","0","0","0","0.000256956170618897","0","0","0","0","0","0","0","0","0","0","0","0"
"X92","agre","0","0","0","3.22092311656521e-05","4.03047035589053e-05","0","4.6849379245725e-05","0","0","0","2.61499437776209e-05","0","9.74231574845341e-05","0","0","2.00650106344556e-05","1.35495847052288e-05","0","0","4.39686064150197e-05"
"X93","agua","0","0","0","0","0","0","0","0.000367080243741282","0","0","0","0","0","0","0","0","0","0","0","0"
"X94","ah","6.20424370269264e-05","0.000665852846520919","0.000957243139757498","0.00241569233742391","0.000483656442706864","0.000697084917617237","0.0007495900679316","0.000330372219367154","0.00169662266051641","0.000366748166259169","5.22998875552418e-05","0.000681508405270332","0.000633250523649471","0.000206731166790705","0.000578809480290014","0.000160520085075645","0.000311640448220262","0.00141490365179895","0.000190815417885765","0.000175874425660079"
"X95","aha","0","0","0","0","0","0.000380228136882129","9.369875849145e-05","0","0","0","0","0","0","4.13462333581411e-05","0","0","0","0","0","0"
"X96","ahead","6.20424370269264e-05","0","0","6.44184623313041e-05","4.03047035589053e-05","6.33713561470215e-05","4.6849379245725e-05","0","0.000159058374423413","0","0.000130749718888104","0","4.8711578742267e-05","0.000537501033655834","3.04636568573692e-05","0","9.48470929366015e-05","0","0.000222617987533393","6.59529096225295e-05"
"X97","ahh","0","0","0","6.44184623313041e-05","0.000120914110676716","0.000190114068441065","0","0.000256956170618897","0","0.00097799511002445","5.22998875552418e-05","0","4.8711578742267e-05","4.13462333581411e-05","9.13909705721075e-05","4.01300212689113e-05","6.77479235261439e-05","0.00114539819431343","9.54077089428826e-05","0"
"X98","ahhh","0","0","0","0","0","0","0","0","0","0","0","0","0","4.13462333581411e-05","0","0","1.35495847052288e-05","0","0.00012721027859051","0"
"X99","ahi","0","0","0","0","0","0","0","0.000880992584979076","0","0","0","0","0","0","0","0","0","0","0","0"
"X100","ahí","0","0","0","0","0","0","0","0.000293664194993025","0","0","0","0","0","0","0","0","0","0","0","0"
"X101","ahora","0","0","0","0.000128836924662608","0","0","0","0.00245943763306659","0","0","0","0","0","0","0","0","0","0","0","0"
"X102","ai","0.000527360714728875","0","0.000850882790895554","0.000193255386993912","0.0014912740316795","0.000570342205323194","0.000702740688685875","0.000110124073122385","0.000689252955834791","0","0.000130749718888104","0.000984401029834924","0.00048711578742267","0.000413462333581411","0.000792055078291598","0.000361170191420201","0.00138205763993334","0.00175178547365584","3.18025696476275e-05","0.000571591883395256"
"X103","aid","3.10212185134632e-05","0","0","0","0","6.33713561470215e-05","0","0","0","0.000122249388753056","2.61499437776209e-05","0","0","0","0","0","6.77479235261439e-05","0","0","0"
"X104","aim","0","0","5.31801744309721e-05","0","0","0","0","0","0","0","2.61499437776209e-05","0.00075723156141148","0.000146134736226801","0","0","0","0.00010839667764183","6.73763643713785e-05","0.00012721027859051","0"
"X105","ain","0","0","5.31801744309721e-05","0","0","0.000506970849176172","0","0","0","0","0","0","4.8711578742267e-05","0.000620193500372116","0","0","0","0","0","0"
"X106","aina","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"X107","ainda","0","0","0","0","0","0","0","0.000183540121870641","0","0","0","0","0","0","0","0","0","0","0","0"
"X108","aint","3.10212185134632e-05","0","0","0","4.03047035589053e-05","0.000506970849176172","0","0","0","0","0","0","9.74231574845341e-05","8.26924667162821e-05","6.09273137147383e-05","0","0.000569082557619609","0","0","0.000417701760942687"
"X109","air","0.000186127311080779","0.000110975474420153","0.000106360348861944","0.000257673849325217","0","6.33713561470215e-05","0.000234246896228625","0.000550620365611923","0.000530194581411378","0","0.000366099212886692","0.000302892624564592","0.000389692629938136","0.000165384933432564","0","0.000140455074441189","0.000284541278809804","0.000134752728742757","0.000349828266123903","0.000285795941697628"
"X110","al","0","0.000221950948840306","0","0","0","0","0","0.00466191909551428","0","0.00366748166259169","0","0.000227169468423444","0","0.000165384933432564","0","0","4.06487541156864e-05","0","0","0"
"X111","ala","0","0","0","3.22092311656521e-05","0","0","0","0.000477204316863666","0","0","2.61499437776209e-05","7.5723156141148e-05","0","0","0","0","0","0","0","0"
"X112","alarm","3.10212185134632e-05","0","0","0","0","6.33713561470215e-05","0.000140548137737175","0","0","0","5.22998875552418e-05","7.5723156141148e-05","9.74231574845341e-05","8.26924667162821e-05","0","0","4.06487541156864e-05","0","3.18025696476275e-05","0"
"X113","album","3.10212185134632e-05","0.000110975474420153","0.000106360348861944","3.22092311656521e-05","4.03047035589053e-05","0","9.369875849145e-05","0","0","0.000366748166259169","7.84498313328626e-05","0","0.000146134736226801","0","3.04636568573692e-05","2.00650106344556e-05","0.000216793355283661","0","0","0"
"X114","alcohol","0","0","0","0","0","6.33713561470215e-05","0","0","0.00095435024654048","0","0.000130749718888104","0","0","0","0","2.00650106344556e-05","5.41983388209151e-05","0","0","2.19843032075098e-05"
"X115","aldrig","0","0","0","0","0","0","0","0","0","0.000611246943765281","0","0","0","0","0","0","0","0","0","0"
"X116","alegr","0","0","0","0","0","0","0","0.000183540121870641","0","0","0","0","0","0","0","0","0","0","0","0"
"X117","alegria","0","0","0","0","0","0","0","0.000110124073122385","0","0","0","0","0","0","0","4.01300212689113e-05","0","0","0","0"
"X118","alegría","0","0","0","0","0","0","0","0.000146832097496513","0","0","0","0","0","0","0","0","0","0","0","0"
"X119","algo","0","0","0","0","0","0","0","0.00139490492621687","0","0","0","0","0","0","0","0","0","0","0","0"
"X120","alguém","0","0","0","0","0","0","0","0.000183540121870641","0","0","0","0","0","0","0","0","0","0","0","0"
"X121","alguien","0","0","0","0","0","0","0","0.000991116658101461","0","0","0","0","0","0","0","0","0","0","0","0"
"X122","algún","0","0","0","0","0","0","0","0.000293664194993025","0","0","0","0","0","0","0","0","0","0","0","0"
"X123","alguna","0","0","0","0","0","0","0","0.000367080243741282","0","0","0","0","0","0","0","0","0","0","0","0"
"X124","ali","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"X125","alibi","0","0","0","3.22092311656521e-05","0","0","9.369875849145e-05","0","0","0","0","0","0","0","0","0","0","0","3.18025696476275e-05","0.000219843032075098"
"X126","alien","0","0","0","0","0","0","4.6849379245725e-05","0","0","0","0.000339949269109071","0","0","0","0","0","1.35495847052288e-05","0","0","0"
"X127","aliv","0.000186127311080779","0.00233048496282322","0.000265900872154861","0.000225464618159565","0","0","4.6849379245725e-05","0","0.000106038916282276","0","0.000392249156664313","0","9.74231574845341e-05","0","0.000213245598001584","0.000160520085075645","6.77479235261439e-05","0.00154965638054171","0.000286223126828648","0.000109921516037549"
"X128","all","0.0179302643007817","0.00210853401398291","0.00707296319931929","0.00792347086675041","0.006811494901455","0.00747782002534854","0.00927617709065355","0.000110124073122385","0.00943746354912253","0.00672371638141809","0.00920478020972255","0","0.00696575576014419","0.00587116513685603","0.00840796929263389","0.00977166017897989","0.00514884218798694","0.00552486187845304","0.00534283170080142","0.00619957350451777"
"X129","alla","0","0.00233048496282322","0","0","0","0","0","0.000367080243741282","0","0.000244498777506112","0","0","4.8711578742267e-05","0","0","0","0","0","0","0"
"X130","allá","0","0","0","0","0","0","0","3.67080243741282e-05","0","0","0","0","0","0","0","0","0","0","0","0"
"X131","allah","3.10212185134632e-05","0","0","0","0","0","0","0","0","0","5.22998875552418e-05","0","0","0","0","0","1.35495847052288e-05","0","0","0"
"X132","alleen","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"X133","allein","0","0","0","0","0","0","0","0","0","0.00097799511002445","0","0","0","0","0","0","0","0","0","0"
"X134","alleluia","0","0","0","0","0","0","0","0","0","0","5.22998875552418e-05","0","0","0","0","0","0","0","0","0"
"X135","allen","0","0","0","0","0","0","0","0","0","0.000122249388753056","0","0","0","0","0","0","1.35495847052288e-05","0","0","0"
"X136","aller","0","0","0","0","0","0","0","0","0","0.000122249388753056","0","0.000302892624564592","0","0","0","0","0","0","0","0"
"X137","alley","0","0","5.31801744309721e-05","0.00016104615582826","0","0","4.6849379245725e-05","0","0","0","2.61499437776209e-05","0","0.000146134736226801","0.000289423633506988","3.04636568573692e-05","0","0","0","9.54077089428826e-05","0"
"X138","allí","0","0","0","0","0","0","0","0.000440496292489538","0","0","0","0","0","0","0","0","0","0","0","0"
"X139","allow","0","0","5.31801744309721e-05","0","8.06094071178107e-05","0","0.0001873975169829","0","5.30194581411378e-05","0","2.61499437776209e-05","0","4.8711578742267e-05","8.26924667162821e-05","3.04636568573692e-05","4.01300212689113e-05","5.41983388209151e-05","6.73763643713785e-05","0","2.19843032075098e-05"
"X140","allt","0","0","0","0","0","0","0","0","0","0.00110024449877751","0","0","0","0","0","0","0","0","0","0"
"X141","alltid","0","0","0","0","0","0","0","0","0","0.000122249388753056","0","0","0","0","0","0","0","0","0","0"
"X142","alma","0","0","5.31801744309721e-05","0","0","0","0","0.00220248146244769","0","0","0","0","0","0","0","0","0","0","0","0"
"X143","almighti","0","0","0","6.44184623313041e-05","0","0","0","0","0","0","0.000104599775110484","0","0","0","0","0","1.35495847052288e-05","0","3.18025696476275e-05","0"
"X144","almost","0.000124084874053853","0.000332926423260459","0","3.22092311656521e-05","8.06094071178107e-05","0","9.369875849145e-05","0","0.000106038916282276","0","0","0","0","4.13462333581411e-05","9.13909705721075e-05","0.000180585095710101","2.70991694104576e-05","0","9.54077089428826e-05","8.79372128300394e-05"
"X145","alon","0.000651445588782727","0","0.00106360348861944","0.000450929236319129","0.00100761758897263","0.000126742712294043","0.000890138205668775","3.67080243741282e-05","0.000583214039552516","0","0.00060144870688528","7.5723156141148e-05","0.000438404208680403","0.000413462333581411","0.000578809480290014","0.00252819133994141","0.000284541278809804","0.000134752728742757","0.000890471950133571","0.000395717457735177"
"X146","along","0.000558381933242338","0.000110975474420153","0.000372261221016805","0.000257673849325217","0.000241828221353432","0.000253485424588086","0.0003747950339658","0","0.00212077832564551","0.000733496332518337","0.000104599775110484","0","0.000243557893711335","0.000206731166790705","0.000152318284286846","0.000260845138247923","5.41983388209151e-05","0.000808516372456542","6.36051392952551e-05","0.000175874425660079"
"X147","alor","0","0","0","0","0","0","0","0","0","0","0","0.00196880205966985","0","0","0","0","0","0","0","0"
"X148","alreadi","9.30636555403896e-05","0","0.000212720697723889","6.44184623313041e-05","0.000725484664060296","0.000190114068441065","0.000140548137737175","0","0","0","0","0","0.000243557893711335","0","9.13909705721075e-05","0.000120390063806734","5.41983388209151e-05","0.000202129093114136","0.000349828266123903","0.000131905819245059"
"X149","alright","0.000682466807296191","0","0.000212720697723889","0.000225464618159565","8.06094071178107e-05","0.00101394169835234","0.000234246896228625","0","0.000636233497693654","0","0","0","0.000438404208680403","0.00037211610022327","0.00182781941144215","0.000180585095710101","5.41983388209151e-05","0.0018865382023986","0.000318025696476275","0.000131905819245059"
"X150","also","0","0","0","3.22092311656521e-05","4.03047035589053e-05","0","4.6849379245725e-05","0","0","0.000611246943765281","2.61499437776209e-05","0","0","4.13462333581411e-05","0","0","2.70991694104576e-05","0","0","2.19843032075098e-05"
"X151","alt","0","0","0","0","0","0","0","0","0","0.000733496332518337","0","0","0","0","0","0","0","0","0","0"
"X152","altar","0","0","0","0","0","0","0.0001873975169829","0","0","0","5.22998875552418e-05","0","0","0","3.04636568573692e-05","2.00650106344556e-05","0","0","0","0"
"X153","alter","0","0","0","0","4.03047035589053e-05","0","0","0","5.30194581411378e-05","0","2.61499437776209e-05","7.5723156141148e-05","4.8711578742267e-05","0","0","4.01300212689113e-05","1.35495847052288e-05","0","3.18025696476275e-05","0"
"X154","although","3.10212185134632e-05","0","0.000106360348861944","0.00016104615582826","0.000161218814235621","6.33713561470215e-05","0","0","5.30194581411378e-05","0","5.22998875552418e-05","0","0","0","0","0.000120390063806734","5.41983388209151e-05","0","9.54077089428826e-05","4.39686064150197e-05"
"X155","alto","0","0","0","6.44184623313041e-05","0","0","0","0.000146832097496513","0","0","0","0","0","0","0","0","0","0","0","0"
"X156","altro","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"X157","alway","0.00207842164040203","0.000776828320941072","0.00074452244203361","0.000901858472638258","0.000403047035589053","0.000126742712294043","0.00103068634340595","3.67080243741282e-05","0.001537564286093","0","0.000549148819330038","7.5723156141148e-05","0.000438404208680403","0.00136442570081866","0.000639736794004752","0.00260845138247923","0.000650380065850982","0.000741140008085164","0.00171733876097189","0.00114318376679051"
"X158","am","0.00958555652066013","0.0119853512373765","0.00717932354818124","0.00785905240441911","0.0103986135181976","0.0102661596958175","0.0100257671585851","0.000110124073122385","0.00450665394199671","0.00305623471882641","0.0046285400486389","0.000227169468423444","0.00818354522870086","0.0119077152071446","0.0093828063120697","0.00820658934949236","0.0108261181794778","0.0107802182994206","0.00855489123521181","0.00993690504979445"
"X159","ama","0","0","0","0","0","0","0","0.000697452463108435","0","0","0","0","0","0","0","0","0","0","0","0"
"X160","amanec","0","0","0","0","0","0","0","0.000183540121870641","0","0","0","0","0","0","0","0","0","0","0","0"
"X161","amant","0","0","0","0","0","0","0","7.34160487482564e-05","0","0","0","0","0","0","0","0","0","0","0","0"
"X162","amar","0","0","0","0.000257673849325217","0","0","0","0.000954408633727333","0","0","0","0","0","0","0","0","0","0","0","0"
"X163","amart","0","0","0","0","0","0","0","0.000770868511856692","0","0","0","0","0","0","0","0","0","0","0","0"
"X164","amaz","0","0","0","9.66276934969562e-05","0.000120914110676716","0","0","0","0.000159058374423413","0","5.22998875552418e-05","0","0","0","3.04636568573692e-05","0.00032104017015129","1.35495847052288e-05","0","0.00012721027859051","6.59529096225295e-05"
"X165","ambit","3.10212185134632e-05","0","0","0","0","0","0","0","0","0","5.22998875552418e-05","0","9.74231574845341e-05","0","0","0","2.70991694104576e-05","0.000134752728742757","3.18025696476275e-05","2.19843032075098e-05"
"X166","amen","0","0","0","9.66276934969562e-05","0","0","0.000140548137737175","0","0","0","0","0","0","0","0","0","0","0","0","0"
"X167","america","6.20424370269264e-05","0","0","6.44184623313041e-05","0","0.000126742712294043","0","0","0","0","0","0","0","8.26924667162821e-05","0","0","0.00010839667764183","0.00114539819431343","0","0"
"X168","american","0.000744509244323117","0","0","0","0","0","0","0","0.00095435024654048","0","0","0","0.00048711578742267","0.000165384933432564","0","2.00650106344556e-05","2.70991694104576e-05","0","3.18025696476275e-05","0"
"X169","ami","0","0","0","0","0","0","0","3.67080243741282e-05","0","0.000122249388753056","0","0.000681508405270332","0","0","0.000335100225431061","0","0","0","0","0.000153890122452569"
"X170","amiga","0","0","0","0","0","0","0","7.34160487482564e-05","0","0","0","0","0","0","0","0","0","0","0","0"
"X171","amigo","0","0","0","0","0","0","0","0.000587328389986051","5.30194581411378e-05","0","0","0","0","0","0","0","0","0","0","0"
"X172","amo","0","0","0","0","0","0","0","0.00146832097496513","0","0","0","0","0","0","0","0","0","0","0","0"
"X173","among","0","0","0","6.44184623313041e-05","0","0","4.6849379245725e-05","0","0","0","0.000183049606443346","0","0","4.13462333581411e-05","6.09273137147383e-05","2.00650106344556e-05","1.35495847052288e-05","0","3.18025696476275e-05","2.19843032075098e-05"
"X174","amongst","6.20424370269264e-05","0","5.31801744309721e-05","0","0","0","0","0","5.30194581411378e-05","0","2.61499437776209e-05","0","0","0","0","0","1.35495847052288e-05","0","0","0"
